,Player,Team,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,W/L %
,Shai Gilgeous-Alexander,OKC,26,76,34.2,11.3,21.8,51.9,2.1,5.7,37.5,56.9,7.9,8.8,89.8,0.9,4.1,5,6.4,1.7,1,2.4,2.2,32.7,63,13,0.8289473684
,Giannis Antetokounmpo,MIL,30,67,34.2,11.8,19.7,60.1,0.2,0.9,22.2,60.7,6.5,10.6,61.7,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,40,27,0.5970149254
,Nikola Jokić,DEN,30,70,36.7,11.2,19.5,57.6,2,4.7,41.7,62.7,5.2,6.4,80,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,46,24,0.6571428571
,Luka Dončić,LAL,26,50,35.4,9.2,20.5,45,3.5,9.6,36.8,53.6,6.2,7.9,78.2,0.8,7.4,8.2,7.7,1.8,0.4,3.6,2.5,28.2,31,19,0.62
,Anthony Edwards,MIN,23,79,36.3,9.1,20.4,44.7,4.1,10.3,39.5,54.7,5.3,6.3,83.7,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,48,31,0.6075949367
,Jayson Tatum,BOS,27,72,36.4,9.2,20.3,45.2,3.5,10.1,34.3,53.7,5,6.1,81.4,0.7,8,8.7,6,1.1,0.5,2.9,2.2,26.8,53,19,0.7361111111
,Kevin Durant,PHX,36,62,36.5,9.5,18.1,52.7,2.6,6,43,59.8,4.9,5.8,83.9,0.4,5.7,6,4.2,0.8,1.2,3.1,1.7,26.6,33,29,0.5322580645
,Tyrese Maxey,PHI,24,52,37.7,9.2,21,43.7,3.1,9.2,33.7,51.1,4.9,5.6,87.9,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,20,32,0.3846153846
,Cade Cunningham,DET,23,70,35,9.8,20.8,46.9,2.1,6,35.6,52.1,4.5,5.3,84.6,0.8,5.3,6.1,9.1,1,0.8,4.4,2.8,26.1,38,32,0.5428571429
,Jalen Brunson,NYK,28,65,35.4,9,18.5,48.8,2.3,6.1,38.3,55.1,5.7,6.9,82.1,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26,40,25,0.6153846154
,Paolo Banchero,ORL,22,46,34.4,9,19.8,45.2,1.9,5.9,32,50,6.1,8.4,72.7,1.1,6.4,7.5,4.8,0.8,0.6,3,2.1,25.9,21,25,0.4565217391
,Devin Booker,PHX,28,75,37.3,8.7,18.9,46.1,2.4,7.3,33.2,52.5,5.8,6.4,89.4,1,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,35,40,0.4666666667
,LaMelo Ball,CHA,23,47,32,8.6,21.3,40.5,3.8,11.2,33.9,49.4,4.1,4.9,84.3,1,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,16,31,0.3404255319
,Damian Lillard,MIL,34,58,36.1,7.7,17.1,44.8,3.4,9,37.6,54.7,6.2,6.8,92.1,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,32,26,0.5517241379
,Anthony Davis,DAL,32,51,33.4,9.2,17.8,51.6,0.7,2.4,28.2,53.6,5.6,7.2,77.5,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,30,21,0.5882352941
,Kyrie Irving,DAL,33,50,36.1,8.9,18.9,47.3,2.9,7.2,40.1,54.9,3.9,4.3,91.6,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2,24.7,28,22,0.56
,Zion Williamson,NOP,24,30,28.6,9.6,16.9,56.7,0.1,0.4,23.1,57,5.3,8,65.6,2.5,4.7,7.2,5.3,1.2,0.9,3,2.7,24.6,10,20,0.3333333333
,Stephen Curry,GSW,37,70,32.2,8.1,18,44.8,4.4,11.2,39.7,57.2,4,4.3,93.3,0.6,3.9,4.4,6,1.1,0.4,2.9,1.4,24.5,41,29,0.5857142857
,Karl-Anthony Towns,NYK,29,72,35,8.9,16.9,52.6,2,4.7,42,58.4,4.7,5.7,82.9,2.9,9.8,12.8,3.1,1,0.7,2.7,3.5,24.4,46,26,0.6388888889
,LeBron James,LAL,40,70,34.9,9.3,18.1,51.3,2.1,5.7,37.6,57.1,3.7,4.7,78.2,1,6.8,7.8,8.2,1,0.6,3.7,1.4,24.4,44,26,0.6285714286
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"[""Age"", ""G"", ""MP"", ""FG"", ""FGA"", 'FG%', '3P', '3PA', '3P%', 'eFG%', 'FT', 'FTA', 'FT%', 'ORB', 'DRB', 'TRB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'W', 'L', 'W/L%']",,,,,,,,,,,,,,,,,
